S. No,First Name,Email ID,Quantity,Events,Attendee Status,College Name,How did you come to know about this event?,Promotional Platforms,Others ,Designation,Year of Graduation,City,CGPA,CGPA Category,Experience with python (Months),Python Experience Level,Family Income,Expected salary (Lac),Expected Salary Category,Leadership- skills
3822,Pruthvi,pruthvi@xyz.com,1,Data Visualization using Power BI,Attending,"Vidyalankar Institute Of Technology, Mumbai",Whatsapp,Whatsapp,,Students,2024,Malda,7.2,7.1-8.0,7,Expert,0-2 Lakh,9,5-10 LPA,no
3823,Meera,meera@xyz.com,1,Artificial Intelligence,Attending,Chhattisgarh Swami Vivekananda Technical University Teaching Department Bhilai,Whatsapp,Whatsapp,,Students,2023,Mumbai,9.5,9.1-10,5,Intermediate,0-2 Lakh,10,5-10 LPA,yes
3824,Kinjal,kinjal@xyz.com,1,Artificial Intelligence,Attending,Adhiyamaan College Of Engineering,Others,Others,N/A,Students,2026,Nanded,7.5,7.1-8.0,7,Expert,0-2 Lakh,15,10-20LPA,no
3825,Bhavesh,bhavesh@xyz.com,1,Artificial Intelligence,Attending,Don Bosco College Of Engineering Fatorda Goa,Others,Others,N/A,Students,2025,Mahe,7.9,7.1-8.0,5,Intermediate,0-2 Lakh,12,10-20LPA,no
3826,Likita,likita@xyz.com,1,Artificial Intelligence,Attending,"S.I.E.S. Graduate School Of Technology, Nerul, Navi Mumbai",Whatsapp,Whatsapp,,Students,2025,Ajmer,7.3,7.1-8.0,3,Beginner,0-2 Lakh,9,5-10 LPA,no
3827,Nimisha,nimisha@xyz.com,1,Artificial Intelligence,Attending,G H Raisoni Institut Of Engineering And Technology Pune,Whatsapp,Whatsapp,,Students,2023,Amer,7.5,7.1-8.0,4,Beginner,0-2 Lakh,8,5-10 LPA,no
3828,Mohammed Danish,mohammeddanish@xyz.com,1,Artificial Intelligence,Attending,G H Raisoni Institut Of Engineering And Technology Pune,Email,Email,,Students,2024,Jhalwar,6.7,6.0 - 7.0,5,Intermediate,0-2 Lakh,21,20-40LPA,no 
3829,Stany,stany@xyz.com,1,Artificial Intelligence,Attending,"B. K. Birla College Of Arts, Science & Commerce (Autonomous), Kalyan",Email,Email,,Students,2024,Kota,7.1,7.1-8.0,5,Intermediate,0-2 Lakh,7,5-10 LPA,yes
3830,Arpit,arpit@xyz.com,1,Artificial Intelligence,Attending,"Vishwakarma Institute Of Technology, Pune",Email,Email,,Students,2025,Pali,9.5,9.1-10,7,Expert,0-2 Lakh,20,10-20LPA,yes
3831,Herak,herak@xyz.com,1,Artificial Intelligence,Attending,"Kle Society'S College Of Bca, Rls Institute, Belagavi",Email,Email,,Students,2025,Sikar,9.2,9.1-10,5,Intermediate,0-2 Lakh,9,5-10 LPA,no
3832,Kajol,kajol@xyz.com,1,Artificial Intelligence,Attending,"Priyadarshini College Of Engineering, Nagpur ",Email,Email,,Students,2023,Ahemdabad,7.9,7.1-8.0,7,Expert,0-2 Lakh,13,10-20LPA,no
3833,Tejash,tejash@xyz.com,1,Artificial Intelligence,Attending,St.Francis Institute Of Technology,Email,Email,,Students,2024,Amreli,7.3,7.1-8.0,4,Beginner,0-2 Lakh,24,20-40LPA,no
3834,Yug,yug@xyz.com,1,Artificial Intelligence,Attending,"Symbiosis Institute Of Technology, Pune",Whatsapp,Whatsapp,,Students,2023,Jamnagar,9.1,9.1-10,4,Beginner,0-2 Lakh,21,20-40LPA,no
3835,Saumil,saumil@xyz.com,1,Artificial Intelligence,Attending,A. C. Patil College Of Engineering,Others,Others,N/A,Students,2025,Kheda,8.4,8.1-9.0,3,Beginner,0-2 Lakh,9,5-10 LPA,no
3836,Jaimin ,jaimin@xyz.com,1,Artificial Intelligence,Attending,Wilson College ,Whatsapp,Whatsapp,,Students,2025,Morbi,6.7,6.0 - 7.0,7,Expert,0-2 Lakh,8,5-10 LPA,no
3837,Jaydipbhai,jaydipbhai@xyz.com,1,Artificial Intelligence,Attending,G H Raisoni Institut Of Engineering And Technology Pune,Others,Others,N/A,Students,2023,Rajkot,9.9,9.1-10,4,Beginner,0-2 Lakh,30,20-40LPA,no 
3838,Visalakshi,visalakshi@xyz.com,1,Artificial Intelligence,Attending,Government Polytechnic Gandhinagar,Cloud Counselage Website,Cloud Counselage Website,,Students,2026,Surat,7.6,7.1-8.0,7,Expert,0-2 Lakh,24,20-40LPA,yes
3839,Khyati ,khyati@xyz.com,1,Artificial Intelligence,Attending,D Y Patil Institute Of Mca And Management Akurdi Pune,Cloud Counselage Website,Cloud Counselage Website,,Students,2025,Ambala,6.4,6.0 - 7.0,5,Intermediate,0-2 Lakh,19,10-20LPA,no
3840,Hardik,hardik@xyz.com,1,Artificial Intelligence,Attending,Ap Shah Institute Of Technology ,Whatsapp,Whatsapp,,Students,2023,Chandigarh,8.4,8.1-9.0,7,Expert,0-2 Lakh,21,20-40LPA,no
3841,Ervin Ryan,ervinryan@xyz.com,1,Artificial Intelligence,Attending,St Xavier'S College ,Email,Email,,Students,2023,Hisar,8.7,8.1-9.0,3,Beginner,0-2 Lakh,9,5-10 LPA,no
3842,Shrikrishna,shrikrishna@xyz.com,1,Artificial Intelligence,Attending,G H Raisoni Institut Of Engineering And Technology Pune,Email,Email,,Students,2025,Nizambad,8,7.1-8.0,7,Expert,0-2 Lakh,8,5-10 LPA,no
3843,Nakum Ritesh,nakumritesh@xyz.com,1,Artificial Intelligence,Attending,"Priyadarshini College Of Engineering, Nagpur ",Email,Email,,Students,2023,Ghazipur,8.7,8.1-9.0,5,Intermediate,0-2 Lakh,17,10-20LPA,no 
3844,Vishwas,vishwas@xyz.com,1,Artificial Intelligence,Attending,St.Francis Institute Of Technology,Email,Email,,Students,2025,Ghaziabad,6.5,6.0 - 7.0,5,Intermediate,0-2 Lakh,13,10-20LPA,yes
3845,Aritra,aritra@xyz.com,1,Artificial Intelligence,Attending,New Horizon Institute Of Technology And Management ,Email,Email,,Students,2026,Gonda,8.8,8.1-9.0,5,Intermediate,0-2 Lakh,11,10-20LPA,yes
3846,Nilay,nilay@xyz.com,1,Artificial Intelligence,Attending,A. C. Patil College Of Engineering,Email,Email,,Students,2025,Hamirpur,7.6,7.1-8.0,4,Beginner,0-2 Lakh,19,10-20LPA,no
3847,Jash,jash@xyz.com,1,Artificial Intelligence,Attending,"Ld College Of Engineering, Ahmedabad, Gujarat ",Email,Email,,Students,2023,Budaun,8.7,8.1-9.0,4,Beginner,0-2 Lakh,12,10-20LPA,yes
3848,Alister ,alister@xyz.com,1,Artificial Intelligence,Attending,Dkte Society'S Textile And Engineering Institute Ichalkaranji,Email,Email,,Students,2023,Jhansi,9.1,9.1-10,3,Beginner,0-2 Lakh,23,20-40LPA,no
3849,Tejal,tejal@xyz.com,1,Artificial Intelligence,Attending,Lokmanya Tilak College Of Engineering Koparkhairane Navi Mumbai,Others,Others,N/A,Students,2024,Lucknow,7.3,7.1-8.0,3,Beginner,0-2 Lakh,9,5-10 LPA,no
3850,Alwyn,alwyn@xyz.com,1,Artificial Intelligence,Attending,"Vidyalankar Institute Of Technology, Mumbai",Email,Email,,Students,2025,Mainpuri,7.1,7.1-8.0,7,Expert,0-2 Lakh,13,10-20LPA,no
3851,Hemanshu,hemanshu@xyz.com,1,Artificial Intelligence,Attending,"Thakur Institute Of Management Studies, Career Development & Research - [Timscdr]",Whatsapp,Whatsapp,,Students,2024,Palashi,8.3,8.1-9.0,7,Expert,0-2 Lakh,19,10-20LPA,no
3852,Renesa,renesa@xyz.com,1,Artificial Intelligence,Attending,Lokmanya Tilak College Of Engineering Koparkhairane Navi Mumbai,Whatsapp,Whatsapp,,Students,2024,Santipur,7.4,7.1-8.0,7,Expert,0-2 Lakh,13,10-20LPA,yes
3853,Lookman,lookman@xyz.com,1,Artificial Intelligence,Attending,"Priyadarshini College Of Engineering, Nagpur ",Whatsapp,Whatsapp,,Students,2023,Siliguri,6.7,6.0 - 7.0,4,Beginner,0-2 Lakh,11,10-20LPA,no
3854,Bhargav,bhargav@xyz.com,1,Artificial Intelligence,Attending,Don Bosco College Of Engineering Fatorda Goa,Email,Email,,Students,2024,Siuri,7.1,7.1-8.0,7,Expert,0-2 Lakh,15,10-20LPA,yes
3855,Ravishankar,ravishankar@xyz.com,1,Artificial Intelligence,Attending,Pillai College Of Engineering New Panvel,Facebook,Facebook,,Students,2023,Titagrah,8.7,8.1-9.0,5,Intermediate,0-2 Lakh,12,10-20LPA,yes
3856,Jayamala ,jayamala@xyz.com,1,Artificial Intelligence,Attending,St Xavier'S College ,Email,Email,,Students,2023,Orchha,8.7,8.1-9.0,5,Intermediate,0-2 Lakh,20,10-20LPA,no 
3857,Haider ,haider@xyz.com,1,Artificial Intelligence,Attending,"S.I.E.S. Graduate School Of Technology, Nerul, Navi Mumbai",Email,Email,,Students,2024,Satna,6.8,6.0 - 7.0,7,Expert,0-2 Lakh,9,5-10 LPA,yes
3858,Roshni ,roshni@xyz.com,1,Artificial Intelligence,Attending,G H Raisoni Institut Of Engineering And Technology Pune,Others,Others,N/A,Students,2025,Ujjain,7.1,7.1-8.0,7,Expert,0-2 Lakh,9,5-10 LPA,yes
3859,Mehak,mehak@xyz.com,1,Artificial Intelligence,Attending,St.Francis Institute Of Technology,Email,Email,,Students,2024,Bhsawal,6.7,6.0 - 7.0,4,Beginner,0-2 Lakh,16,10-20LPA,no
3860,Rajan ,rajan@xyz.com,1,Artificial Intelligence,Attending,"Mit Academy Of Engineering ,Alandi",Email,Email,,Students,2026,Jalgaon,9.1,9.1-10,5,Intermediate,0-2 Lakh,20,10-20LPA,no
3861,Srushti,srushti@xyz.com,1,Artificial Intelligence,Attending,A. C. Patil College Of Engineering,Email,Email,,Students,2024,Kalyan,8.9,8.1-9.0,3,Beginner,0-2 Lakh,9,5-10 LPA,yes
3862,Abdullah,abdullah@xyz.com,1,Artificial Intelligence,Attending,Wilson College ,Email,Email,,Students,2023,Thane,7.4,7.1-8.0,4,Beginner,0-2 Lakh,13,10-20LPA,yes
3863,Niraj,niraj@xyz.com,1,Artificial Intelligence,Attending,"Mit Academy Of Engineering ,Alandi",Cloud Counselage Website,Cloud Counselage Website,,Students,2025,Amer,9.6,9.1-10,4,Beginner,0-2 Lakh,21,20-40LPA,no
3864,Shresth,shresth@xyz.com,1,Artificial Intelligence,Attending,"Ld College Of Engineering, Ahmedabad, Gujarat ",Email,Email,,Students,2024,Jhalwar,9.5,9.1-10,4,Beginner,0-2 Lakh,21,20-40LPA,yes
3865,Radheshyam,radheshyam@xyz.com,1,Artificial Intelligence,Attending,G H Raisoni Institut Of Engineering And Technology Pune,Youtube | Facebook | Instagram | LinkedIn | Email | Cloud Counselage Website,Youtube ,,Students,2023,Jodhpur,6.8,6.0 - 7.0,3,Beginner,0-2 Lakh,17,10-20LPA,no 
3866,Aashish,aashish@xyz.com,1,Artificial Intelligence,Attending,"B. K. Birla College Of Arts, Science & Commerce (Autonomous), Kalyan",Email,Email,,Students,2025,Pali,9.9,9.1-10,4,Beginner,0-2 Lakh,9,5-10 LPA,yes
3867,Shefali,shefali@xyz.com,1,Artificial Intelligence,Attending,"Vidyalankar Institute Of Technology, Mumbai",Email,Email,,Students,2025,Sikar,6.6,6.0 - 7.0,7,Expert,0-2 Lakh,8,5-10 LPA,yes
3868,Jude ,jude@xyz.com,1,Artificial Intelligence,Attending,"Priyadarshini College Of Engineering, Nagpur ",Others,Others,N/A,Students,2023,Nadiad,8.8,8.1-9.0,4,Beginner,0-2 Lakh,6,5-10 LPA,no
3869,Vrundali,vrundali@xyz.com,1,Hello ML and DL,Attending,Chhattisgarh Swami Vivekananda Technical University Teaching Department Bhilai,Cloud Counselage Website,Cloud Counselage Website,,Students,2023,Okha,7.5,7.1-8.0,7,Expert,0-2 Lakh,7,5-10 LPA,yes
3870,Hiren,hiren@xyz.com,1,Hello ML and DL,Attending,Silicon Institute Of Technology,Facebook,Facebook,,Students,2026,Rajkot,8.3,8.1-9.0,3,Beginner,0-2 Lakh,7,5-10 LPA,no 
3871,Vineet,vineet@xyz.com,1,Hello ML and DL,Attending,Adhiyamaan College Of Engineering,Whatsapp,Whatsapp,,Students,2024,Surat,6.4,6.0 - 7.0,7,Expert,0-2 Lakh,8,5-10 LPA,no 
3872,Krishnabihari,krishnabihari@xyz.com,1,Hello ML and DL,Attending,"Vidyalankar Institute Of Technology, Mumbai",Whatsapp,Whatsapp,,Students,2024,Faridabad,7.6,7.1-8.0,5,Intermediate,0-2 Lakh,11,10-20LPA,no
3873,Khumesh,khumesh@xyz.com,1,Hello ML and DL,Attending,"Ld College Of Engineering, Ahmedabad, Gujarat ",Whatsapp,Whatsapp,,Students,2025,Nagaon,8.7,8.1-9.0,5,Intermediate,0-2 Lakh,8,5-10 LPA,no
3874,Palash,palash@xyz.com,1,Hello ML and DL,Attending,"B. K. Birla College Of Arts, Science & Commerce (Autonomous), Kalyan",Whatsapp,Whatsapp,,Students,2024,Burani,9.2,9.1-10,7,Expert,0-2 Lakh,15,10-20LPA,yes
3875,Yashsvi,yashsvi@xyz.com,1,Hello ML and DL,Attending,Late G. N. Sapkal College Of Engineering,Whatsapp,Whatsapp,,Students,2025,Jamalpur,6.9,6.0 - 7.0,4,Beginner,0-2 Lakh,14,10-20LPA,no
3876,Hrushikesh,hrushikesh@xyz.com,1,Hello ML and DL,Attending,"Mit Academy Of Engineering ,Alandi",Whatsapp,Whatsapp,,Students,2025,Motihari,6.5,6.0 - 7.0,3,Beginner,0-2 Lakh,9,5-10 LPA,yes
3877,Sandipan,sandipan@xyz.com,1,Hello ML and DL,Attending,"Ld College Of Engineering, Ahmedabad, Gujarat ",Whatsapp,Whatsapp,,Students,2023,Muzaffarpur,8.7,8.1-9.0,4,Beginner,0-2 Lakh,7,5-10 LPA,no
3878,Lalitkumar,lalitkumar@xyz.com,1,Hello ML and DL,Attending,"Mit Academy Of Engineering ,Alandi",Whatsapp,Whatsapp,,Students,2023,Siwan,9,8.1-9.0,4,Beginner,0-2 Lakh,6,5-10 LPA,no
3879,Divya Dilipbhai,divyadilipbhai@xyz.com,1,Hello ML and DL,Attending,A. C. Patil College Of Engineering,Instagram | Whatsapp | Email,Instagram ,,Students,2024,Chandigarh,7.2,7.1-8.0,4,Beginner,0-2 Lakh,8,5-10 LPA,yes
3880,Divya,divya@xyz.com,1,Hello ML and DL,Attending,Wilson College ,Whatsapp,Whatsapp,,Students,2025,Ambikapur,8.5,8.1-9.0,5,Intermediate,0-2 Lakh,21,20-40LPA,yes
3881,Hinal,hinal@xyz.com,1,Hello ML and DL,Attending,Dkte Society'S Textile And Engineering Institute Ichalkaranji,Cloud Counselage Website,Cloud Counselage Website,,Students,2023,Durg,6.6,6.0 - 7.0,7,Expert,0-2 Lakh,21,20-40LPA,no 
3882,Parmanand,parmanand@xyz.com,1,Hello ML and DL,Attending,Chhattisgarh Swami Vivekananda Technical University Teaching Department Bhilai,Whatsapp,Whatsapp,,Students,2023,Delhi,9.1,9.1-10,7,Expert,0-2 Lakh,25,20-40LPA,no
3883,Zeenal,zeenal@xyz.com,1,Hello ML and DL,Attending,Silicon Institute Of Technology,Whatsapp,Whatsapp,,Students,2026,New Delhi,7.6,7.1-8.0,5,Intermediate,0-2 Lakh,19,10-20LPA,yes
3884,Dnyananda ,dnyananda@xyz.com,1,Hello ML and DL,Attending,Pillai College Of Engineering New Panvel,Email,Email,,Students,2024,Ahemdabad,8.5,8.1-9.0,7,Expert,0-2 Lakh,5,5-10 LPA,no
3885,Monali,monali@xyz.com,1,Hello ML and DL,Attending,St Xavier'S College ,Email,Email,,Students,2023,Amreli,8.7,8.1-9.0,7,Expert,0-2 Lakh,8,5-10 LPA,no
3886,Gajendra,gajendra@xyz.com,1,Hello ML and DL,Attending,A. C. Patil College Of Engineering,Email,Email,,Students,2025,Godhra,9.4,9.1-10,5,Intermediate,0-2 Lakh,9,5-10 LPA,yes
3887,Dion Trevor,diontrevor@xyz.com,1,Hello ML and DL,Attending,"Ld College Of Engineering, Ahmedabad, Gujarat ",Whatsapp,Whatsapp,,Students,2025,Junagadh,8.5,8.1-9.0,5,Intermediate,0-2 Lakh,13,10-20LPA,no 
3888,Mishkeel,mishkeel@xyz.com,1,Hello ML and DL,Attending,G H Raisoni Institut Of Engineering And Technology Pune,Email,Email,,Students,2023,Nadiad,7.5,7.1-8.0,3,Beginner,0-2 Lakh,19,10-20LPA,yes
3889,Maithili,maithili@xyz.com,1,Hello ML and DL,Attending,Government Polytechnic Gandhinagar,Others,Others,N/A,Students,2025,Navsari,7.2,7.1-8.0,7,Expert,0-2 Lakh,18,10-20LPA,no
3890,Chandradev ,chandradev@xyz.com,1,Hello ML and DL,Attending,"Priyadarshini College Of Engineering, Nagpur ",Email,Email,,Students,2023,Valsad,9.4,9.1-10,5,Intermediate,0-2 Lakh,9,5-10 LPA,no
3891,Abdul Rahim ,abdulrahim@xyz.com,1,Hello ML and DL,Attending,New Horizon Institute Of Technology And Management ,Others,Others,N/A,Students,2024,Chandigarh,6.6,6.0 - 7.0,3,Beginner,0-2 Lakh,13,10-20LPA,no
3892,Ajith,ajith@xyz.com,1,Hello ML and DL,Attending,"Symbiosis Institute Of Technology, Pune",Others,Others,N/A,Students,2024,Gurugram,7.7,7.1-8.0,7,Expert,0-2 Lakh,25,20-40LPA,no
3893,Muzammil,muzammil@xyz.com,1,Hello ML and DL,Attending,Wilson College ,Email,Email,,Students,2023,Kaithal,7.1,7.1-8.0,4,Beginner,0-2 Lakh,9,5-10 LPA,no 
3894,Urviya,urviya@xyz.com,1,Hello ML and DL,Attending,A. C. Patil College Of Engineering,Whatsapp | Cloud Counselage Website,Whatsapp ,,Students,2023,Rohtak,6.5,6.0 - 7.0,3,Beginner,0-2 Lakh,19,10-20LPA,no
3895,Pradip,pradip@xyz.com,1,Hello ML and DL,Attending,Dkte Society'S Textile And Engineering Institute Ichalkaranji,Whatsapp,Whatsapp,,Students,2025,Chamba,6.7,6.0 - 7.0,3,Beginner,0-2 Lakh,12,10-20LPA,yes
3896,Dhruvika,dhruvika@xyz.com,1,Hello ML and DL,Attending,Lokmanya Tilak College Of Engineering Koparkhairane Navi Mumbai,Whatsapp,Whatsapp,,Students,2024,Hamirpur,9.3,9.1-10,4,Beginner,0-2 Lakh,10,5-10 LPA,no
3897,Barkha ,barkha@xyz.com,1,Hello ML and DL,Attending,"Priyadarshini College Of Engineering, Nagpur ",Email,Email,,Students,2023,kullu,6.9,6.0 - 7.0,4,Beginner,0-2 Lakh,10,5-10 LPA,no
3898,Arti,arti@xyz.com,1,Hello ML and DL,Attending,"Vidyalankar Institute Of Technology, Mumbai",Youtube | Facebook | Instagram | Whatsapp | Email,Youtube ,,Students,2026,Mandi,8.9,8.1-9.0,4,Beginner,0-2 Lakh,15,10-20LPA,no
3899,Tripti ,tripti@xyz.com,1,Hello ML and DL,Attending,Silicon Institute Of Technology,Whatsapp,Whatsapp,,Students,2024,Una,7.2,7.1-8.0,5,Intermediate,0-2 Lakh,20,10-20LPA,yes
3900,S,s@xyz.com,1,Hello ML and DL,Attending,Adhiyamaan College Of Engineering,Whatsapp,Whatsapp,,Students,2023,Anantnag,8.1,8.1-9.0,7,Expert,0-2 Lakh,21,20-40LPA,yes
3901,Kruti,kruti@xyz.com,1,Hello ML and DL,Attending,Don Bosco College Of Engineering Fatorda Goa,Whatsapp,Whatsapp,,Students,2024,Baramula,9.5,9.1-10,4,Beginner,0-2 Lakh,9,5-10 LPA,no 
3902,Rutik,rutik@xyz.com,1,Hello ML and DL,Attending,Adhiyamaan College Of Engineering,Whatsapp,Whatsapp,,Students,2023,Badmi,7.5,7.1-8.0,5,Intermediate,0-2 Lakh,8,5-10 LPA,no
3903,Nividita ,nividita@xyz.com,1,Hello ML and DL,Attending,Government Polytechnic Gandhinagar,Whatsapp,Whatsapp,,Students,2026,Hasan,6.7,6.0 - 7.0,4,Beginner,0-2 Lakh,24,20-40LPA,yes
3904,Somesh,somesh@xyz.com,1,Hello ML and DL,Attending,"Priyadarshini College Of Engineering, Nagpur ",Whatsapp,Whatsapp,,Students,2024,Kollam,9.2,9.1-10,5,Intermediate,0-2 Lakh,8,5-10 LPA,yes
3905,Sumedh,sumedh@xyz.com,1,Hello ML and DL,Attending,New Horizon Institute Of Technology And Management ,Whatsapp,Whatsapp,,Students,2025,Bhopal,7.3,7.1-8.0,7,Expert,0-2 Lakh,8,5-10 LPA,no
3906,Roheeni,roheeni@xyz.com,1,Hello ML and DL,Attending,Late G. N. Sapkal College Of Engineering,Whatsapp,Whatsapp,,Students,2026,Dhar,7.3,7.1-8.0,7,Expert,0-2 Lakh,7,5-10 LPA,no
3907,Rushika,rushika@xyz.com,1,Hello ML and DL,Attending,Chhattisgarh Swami Vivekananda Technical University Teaching Department Bhilai,Whatsapp,Whatsapp,,Students,2024,Aurangabad,9.3,9.1-10,5,Intermediate,0-2 Lakh,8,5-10 LPA,no 
3908,Nidhi ,nidhi@xyz.com,1,Hello ML and DL,Attending,Adhiyamaan College Of Engineering,Whatsapp,Whatsapp,,Students,2025,Bhsawal,8.4,8.1-9.0,4,Beginner,0-2 Lakh,8,5-10 LPA,yes
3909,Athena,athena@xyz.com,1,Hello ML and DL,Attending,G H Raisoni Institut Of Engineering And Technology Pune,Whatsapp,Whatsapp,,Students,2025,Thane,8,7.1-8.0,4,Beginner,0-2 Lakh,13,10-20LPA,no
3910,Jaitali ,jaitali@xyz.com,1,Hello ML and DL,Attending,"Priyadarshini College Of Engineering, Nagpur ",Whatsapp,Whatsapp,,Students,2025,Solapur,6.5,6.0 - 7.0,3,Beginner,0-2 Lakh,13,10-20LPA,no
3911,Amratsingh,amratsingh@xyz.com,1,Hello ML and DL,Attending,"Symbiosis Institute Of Technology, Pune",Whatsapp,Whatsapp,,Students,2026,Wardha,7.3,7.1-8.0,5,Intermediate,0-2 Lakh,6,5-10 LPA,no
3912,Labhanshu,labhanshu@xyz.com,1,Hello ML and DL,Attending,A. C. Patil College Of Engineering,Others,Others,N/A,Students,2024,Vasai,7.1,7.1-8.0,7,Expert,0-2 Lakh,20,10-20LPA,no
3913,Pushpak,pushpak@xyz.com,1,Hello ML and DL,Attending,"B. K. Birla College Of Arts, Science & Commerce (Autonomous), Kalyan",Others,Others,N/A,Students,2023,Amritsar,7.3,7.1-8.0,7,Expert,0-2 Lakh,10,5-10 LPA,yes
3914,Charu,charu@xyz.com,1,Hello ML and DL,Attending,Late G. N. Sapkal College Of Engineering,Others,Others,N/A,Students,2023,Bikaner,9.7,9.1-10,4,Beginner,0-2 Lakh,21,20-40LPA,no
3915,Akbar,akbar@xyz.com,1,Hello ML and DL,Attending,Dkte Society'S Textile And Engineering Institute Ichalkaranji,Whatsapp | Cloud Counselage Website | Others,Whatsapp ,,Students,2024,Pali,8.2,8.1-9.0,5,Intermediate,0-2 Lakh,5,5-10 LPA,yes
3916,Ankur ,ankur@xyz.com,1,Hello ML and DL,Attending,Late G. N. Sapkal College Of Engineering,Whatsapp,Whatsapp,,Students,2024,Kanpur,7.8,7.1-8.0,7,Expert,0-2 Lakh,21,20-40LPA,no 
3917,Abhinay,abhinay@xyz.com,1,Hello ML and DL,Attending,"Mit Academy Of Engineering ,Alandi",Email,Email,,Students,2024,Mathura,9.9,9.1-10,3,Beginner,0-2 Lakh,24,20-40LPA,yes
3918,Libina,libina@xyz.com,1,Hello ML and DL,Attending,Dkte Society'S Textile And Engineering Institute Ichalkaranji,Cloud Counselage Website,Cloud Counselage Website,,Students,2025,Alipore,9.6,9.1-10,3,Beginner,0-2 Lakh,17,10-20LPA,yes
3919,Bhargavi Bodhankar ,bhargavibodhankar@xyz.com,1,Hello ML and DL,Attending,"Vidyalankar Institute Of Technology, Mumbai",Youtube | Whatsapp,Youtube ,,Students,2024,Kolkata,7.2,7.1-8.0,5,Intermediate,0-2 Lakh,8,5-10 LPA,no
3920,Deep,deep@xyz.com,1,Hello ML and DL,Attending,Chhattisgarh Swami Vivekananda Technical University Teaching Department Bhilai,Whatsapp,Whatsapp,,Students,2025,Malda,9.5,9.1-10,7,Expert,0-2 Lakh,26,20-40LPA,no
3921,Haresh,haresh@xyz.com,1,Hello ML and DL,Attending,Don Bosco College Of Engineering Fatorda Goa,Whatsapp,Whatsapp,,Students,2025,Siliguri,9.9,9.1-10,7,Expert,0-2 Lakh,25,20-40LPA,no 
3922,Syed Uzair,syeduzair@xyz.com,1,Hello ML and DL,Attending,Pillai College Of Engineering New Panvel,Youtube | Instagram | Whatsapp,Youtube ,,Students,2023,Silguri,6.6,6.0 - 7.0,7,Expert,0-2 Lakh,7,5-10 LPA,no 
3923,Bharat,bharat@xyz.com,1,Hello ML and DL,Attending,"Kle Society'S College Of Bca, Rls Institute, Belagavi",Youtube | Whatsapp | Email,Youtube ,,Students,2024,Satna,8.5,8.1-9.0,7,Expert,0-2 Lakh,5,5-10 LPA,no
3924,Harshad,harshad@xyz.com,1,Hello ML and DL,Attending,Government Polytechnic Gandhinagar,Whatsapp,Whatsapp,,Students,2026,Vidisha,7.9,7.1-8.0,7,Expert,0-2 Lakh,8,5-10 LPA,no
3925,Amrita ,amrita@xyz.com,1,Hello ML and DL,Attending,St.Francis Institute Of Technology,Whatsapp,Whatsapp,,Students,2025,Bid,7.7,7.1-8.0,7,Expert,0-2 Lakh,9,5-10 LPA,no 
3926,Divyanshu,divyanshu@xyz.com,1,Hello ML and DL,Attending,"Symbiosis Institute Of Technology, Pune",Others,Others,N/A,Students,2023,Jalgaon,7.9,7.1-8.0,7,Expert,0-2 Lakh,9,5-10 LPA,no
3927,Pranita ,pranita@xyz.com,1,Hello ML and DL,Attending,"Ld College Of Engineering, Ahmedabad, Gujarat ",Youtube,Youtube,,Students,2023,Mumbai,7.6,7.1-8.0,4,Beginner,0-2 Lakh,12,10-20LPA,no
3928,Daaniya,daaniya@xyz.com,1,Hello ML and DL,Attending,"Ld College Of Engineering, Ahmedabad, Gujarat ",Whatsapp,Whatsapp,,Students,2025,Nanded,9.5,9.1-10,5,Intermediate,0-2 Lakh,20,10-20LPA,no
3929,Kaveri,kaveri@xyz.com,1,Hello ML and DL,Attending,Government Polytechnic Gandhinagar,Email,Email,,Students,2025,Amritsar,9.2,9.1-10,4,Beginner,0-2 Lakh,14,10-20LPA,no
3930,Abhang,abhang@xyz.com,1,Hello ML and DL,Attending,"B. K. Birla College Of Arts, Science & Commerce (Autonomous), Kalyan",Whatsapp,Whatsapp,,Students,2024,Patiala,6.9,6.0 - 7.0,3,Beginner,0-2 Lakh,16,10-20LPA,yes
3931,Aaliya Ruba ,aaliyaruba@xyz.com,1,Hello ML and DL,Attending,D Y Patil Institute Of Mca And Management Akurdi Pune,Whatsapp,Whatsapp,,Students,2023,Sangrur,7.2,7.1-8.0,4,Beginner,0-2 Lakh,9,5-10 LPA,yes
3932,Juhi,juhi@xyz.com,1,Hello ML and DL,Attending,Ap Shah Institute Of Technology ,Whatsapp,Whatsapp,,Students,2026,Ajmer,7.5,7.1-8.0,4,Beginner,0-2 Lakh,8,5-10 LPA,no 
3933,Shalini,shalini@xyz.com,1,Hello ML and DL,Attending,Pillai College Of Engineering New Panvel,Email | Cloud Counselage Website,Email ,,Students,2025,Barmer,7.5,7.1-8.0,7,Expert,0-2 Lakh,7,5-10 LPA,yes
3934,Pavi,pavi@xyz.com,1,Hello ML and DL,Attending,"B. K. Birla College Of Arts, Science & Commerce (Autonomous), Kalyan",Whatsapp,Whatsapp,,Students,2023,Kota,8.7,8.1-9.0,3,Beginner,0-2 Lakh,21,20-40LPA,no
3935,Rajkamal,rajkamal@xyz.com,1,Hello ML and DL,Attending,"Kle Society'S College Of Bca, Rls Institute, Belagavi",Whatsapp | Email,Whatsapp ,,Students,2025,Sikar,9,8.1-9.0,3,Beginner,0-2 Lakh,9,5-10 LPA,no
